PN;T0;M;X1;X2;X3;V1;V2;V3;XR;V;Error
P 1;  1.7000000E+02;  1.9890000E+30; -2.1867479E+11; -2.7745368E+03;  0.0000000E+00; -9.1125993E+09; -1.1528405E+02;  0.0000000E+00;  2.1867479E+11;  9.1125993E+09;  0.0000000E+00
P 2;  1.7000000E+02;  1.9890000E+30;  2.1867479E+11;  2.7745368E+03;  0.0000000E+00;  9.1125993E+09;  1.1528405E+02;  0.0000000E+00;  2.1867479E+11;  9.1125993E+09;  0.0000000E+00
P 1;  1.7500000E+02;  1.9890000E+30; -2.5993913E+11; -3.2964250E+03;  0.0000000E+00; -7.7134882E+09; -9.7536357E+01;  0.0000000E+00;  2.5993913E+11;  7.7134882E+09;  0.0000000E+00
P 2;  1.7500000E+02;  1.9890000E+30;  2.5993913E+11;  3.2964250E+03;  0.0000000E+00;  7.7134882E+09;  9.7536357E+01;  0.0000000E+00;  2.5993913E+11;  7.7134882E+09;  0.0000000E+00
P 1;  1.8000000E+02;  1.9890000E+30; -2.9483266E+11; -3.7375216E+03;  0.0000000E+00; -6.5099823E+09; -8.2276708E+01;  0.0000000E+00;  2.9483266E+11;  6.5099823E+09;  0.0000000E+00
P 2;  1.8000000E+02;  1.9890000E+30;  2.9483266E+11;  3.7375216E+03;  0.0000000E+00;  6.5099823E+09;  8.2276708E+01;  0.0000000E+00;  2.9483266E+11;  6.5099823E+09;  0.0000000E+00
P 1;  1.8500000E+02;  1.9890000E+30; -3.2410961E+11; -4.1074187E+03;  0.0000000E+00; -5.4331991E+09; -6.8628474E+01;  0.0000000E+00;  3.2410961E+11;  5.4331991E+09;  0.0000000E+00
P 2;  1.8500000E+02;  1.9890000E+30;  3.2410961E+11;  4.1074187E+03;  0.0000000E+00;  5.4331991E+09;  6.8628474E+01;  0.0000000E+00;  3.2410961E+11;  5.4331991E+09;  0.0000000E+00
P 1;  1.9000000E+02;  1.9890000E+30; -3.4827596E+11; -4.4125498E+03;  0.0000000E+00; -4.4432343E+09; -5.6084180E+01;  0.0000000E+00;  3.4827596E+11;  4.4432343E+09;  0.0000000E+00
P 2;  1.9000000E+02;  1.9890000E+30;  3.4827596E+11;  4.4125498E+03;  0.0000000E+00;  4.4432343E+09;  5.6084180E+01;  0.0000000E+00;  3.4827596E+11;  4.4432343E+09;  0.0000000E+00
P 1;  1.9500000E+02;  1.9890000E+30; -3.6768452E+11; -4.6574016E+03;  0.0000000E+00; -3.5143870E+09; -4.4317172E+01;  0.0000000E+00;  3.6768452E+11;  3.5143870E+09;  0.0000000E+00
P 2;  1.9500000E+02;  1.9890000E+30;  3.6768452E+11;  4.6574016E+03;  0.0000000E+00;  3.5143870E+09;  4.4317172E+01;  0.0000000E+00;  3.6768452E+11;  3.5143870E+09;  0.0000000E+00
P 1;  2.0000000E+02;  1.9890000E+30; -3.8258457E+11; -4.8451454E+03;  0.0000000E+00; -2.6286757E+09; -3.3099049E+01;  0.0000000E+00;  3.8258457E+11;  2.6286757E+09;  0.0000000E+00
